Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
Modular Certificate in System & Network Administration (part of Diploma in Infocomm & Digital Media (IT Network and System Administration))-DINSA2,TGS-2023020630,Nanyang Polytechnic,T08GB0032G,SSG-NON-WSQ,"This Modular Certificate in System & Network Administration (MC2 of Diploma in Infocomm & Digital Media (IT Network & System Administration))-DINSA2 aims to train the learners on the following:_x000D_
_x000D_
1. Implement a small network and develop skills on how to troubleshoot network issues, apply security hardening in network devices._x000D_
_x000D_
2. Design and implement a switched network. Configure a switch with functionalities such as virtual LANs implementation, basic switch security and inter-VLAN in a converged network._x000D_
_x000D_
3. Implement essential operating system services needed for an enterprise system, management of file systems, system security / recovery, network directory services and software deployment._x000D_
_x000D_
4. Propose solutions to improve IT operations with reference to IT service management methodologies. Acquire knowledge on the functions and processes in Service Strategy, Design, and Transition._x000D_
_x000D_
5. Apply their knowledge and skills in IT service management as well as the administration of IT networks and computer servers. Setup functional network to support system administrative functions._x000D_
","This Modular Certificate in System & Network Administration (MC2 of Diploma in Infocomm & Digital Media (IT Network & System Administration)-DINSA2  covers the following modules:_x000D_
_x000D_
â€¢ Network Design (30 hours)_x000D_
â€¢ Implementing LAN  (30 hours)_x000D_
â€¢ Open System Essentials (30 hours)_x000D_
â€¢ IT Service Management (30 hours)_x000D_
â€¢ System & Network Administration Project (60 hours)_x000D_
",Business and Organisational Management,Networking,Nanyang Polytechnic,SSG-NON-WSQ,N
Modular Certificate in System Network Operation & Support (part of Diploma in Infocomm & Digital Media (IT Network and System Administration)-DINSA2,TGS-2023020631,Nanyang Polytechnic,T08GB0032G,SSG-NON-WSQ,"This This Modular Certificate in System Network Operation & Support (MC3 of Diploma in Infocomm & Digital Media (IT Network & System Administration)-DINSA2 aims to train the learners on the following:_x000D_
_x000D_
1. Learn to administer an enterprise server and acquire knowledge on server administration which includes the server environment, services and features._x000D_
_x000D_
2. Acquire knowledge on the architecture, components, and operations of routers and switches in the context of a larger and more complex network. _x000D_
_x000D_
3. Acquire knowledge on routers from basic concepts to the more advanced topics such as enterprise level routing protocols and learn the characteristics of routed networks as well as how to fine tune a routing protocol._x000D_
_x000D_
4. Articulate the essential aspects of information security from personal and enterprise perspectives_x000D_
_x000D_
5. Demonstrate their IT operation and support skills in enterprise computer system and networking with the consideration in security through a project._x000D_
","This Modular Certificate in System Network Operation & Support (part of Diploma in Infocomm & Digital Media (IT Network & System Administration)-DINSA2Â covers the following modules:_x000D_
_x000D_
â€¢ Enterprise System Essentials (30 hours)_x000D_
â€¢ Building Scalable Networks (30 hours)_x000D_
â€¢ Enterprise Routing (30 hours)_x000D_
â€¢ InfoSecurity Essentials (30 hours)_x000D_
â€¢ Secure Enterprise System Project (60 hours)_x000D_
",Business and Organisational Management,Networking,Nanyang Polytechnic,SSG-NON-WSQ,N
Modular Certificate in Secure Network Management (part of Diploma in Infocomm & Digital Media (IT Network and System Administration))-DINSA2,TGS-2023020632,Nanyang Polytechnic,T08GB0032G,SSG-NON-WSQ,"This Modular Certificate in Secure Network Management (MC4 of Diploma in Infocomm & Digital Media (IT Network & System Administration))-DINSA2 aims to train the learners on the following:_x000D_
_x000D_
1. Introduce various types of vulnerabilities, threats and exploits to implement security measures to mitigate cybersecurity risks to a network environment._x000D_
_x000D_
2. Secure IT networks using different threat mitigation strategies. These includes Intrusion Prevention System (IPS), Firewall, Authentication, Authorization, and Accounting (AAA) management._x000D_
_x000D_
3. Manage and troubleshoot enterprise network using various network management tools. Acquire knowledge and skills on network virtualisation and automation._x000D_
_x000D_
4. Operate SDN solutions in a virtual networking environment. Acquire knowledge in SDN architecture, abstractions of layers in terms of control and data plane and security consideration._x000D_
_x000D_
5. Demonstrate knowledge in network security and management. Setup an enterprise network and implement various network security measures on network devices to mitigate security threats._x000D_
","This Modular Certificate in Secure Network Management (MC4 of Diploma in Infocomm & Digital Media (IT Network & System Administration))-DINSA2  covers the following modules:_x000D_
_x000D_
â€¢ Network Security Essentials - 30 hours_x000D_
â€¢ Network Security Implementation - 30 hours_x000D_
â€¢ Network Management - 30 hours_x000D_
â€¢ Software-Defined Networking - 30 hours_x000D_
â€¢ Secure Network Management Project - 60 hours_x000D_
",Business and Organisational Management,Networking,Nanyang Polytechnic,SSG-NON-WSQ,N
WSP - Modular Certificate in System & Network Essential (part of WSP leading to Diploma in Infocomm & Digital Media (IT Network and System Administration))- DINSA2,TGS-2023021590,Nanyang Polytechnic,T08GB0032G,SSG-NON-WSQ,"â€œPlease do NOT use this Course ID to claim any form of SSG support.  Kindly consult NYP if unsureâ€ _x000D_
_x000D_
The Modular Certificate in System & Network Essential (MC1 of Diploma in Infocomm & Digital Media (IT Network & System Administration))-DINSA2 aims to train the learners on the following:_x000D_
1. The use of computer technology and networking of business operation and networking fundamentals as well as network conceptual model like the Open System Interconnection (OSI) model._x000D_
_x000D_
2. Acquire knowledge on the fundamental concepts of operating systems with a focus on the important features and functions, including the management of memory space and peripheral devices._x000D_
_x000D_
3. Develop relevant skills to administer Operating Systems (OS) such as Linux and Windows, acquire knowledge on OS system directories and files._x000D_
_x000D_
4. Apply the fundamental knowledge of scripting technologies, such as shell scripts and knowledge on basic programming constructs like repetition and conditional statements._x000D_
_x000D_
5. Apply knowledge and skills in the area of IT networks, system administration and develop script program to automate routine system administrative functions._x000D_
","â€œPlease do NOT use this Course ID to claim any form of SSG support.  Kindly consult NYP if unsureâ€ _x000D_
_x000D_
This Modular Certificate in System & Network Essential (MC1 of Diploma in Infocomm & Digital Media (IT Network & System Administration))- DINSA2 covers the following modules:_x000D_
â€¢ Essentials of IT and Networking - 30 hours_x000D_
â€¢ Operating Systems - 30 hours_x000D_
â€¢ System Administration - 30 hours_x000D_
â€¢ Script Programming - 30 hours_x000D_
â€¢ IT Systems Support Project - 60 hours_x000D_
",Business and Organisational Management,Networking,Nanyang Polytechnic,SSG-NON-WSQ,N
WSP - Modular Certificate in System Network Operation & Support (part of WSP leading to Diploma in Infocomm & Digital Media (IT Network and System Administration))-DINSA2,TGS-2023021592,Nanyang Polytechnic,T08GB0032G,SSG-NON-WSQ,"â€œPlease do NOT use this Course ID to claim any form of SSG support.  Kindly consult NYP if unsureâ€_x000D_
_x000D_
This Modular Certificate in System & Network Administration (MC3 of Diploma in Infocomm & Digital Media (IT Network & System Administration))-DINSA2 aims to train the learners on the following:_x000D_
_x000D_
1. Learn to administer an enterprise server and acquire knowledge on server administration which includes the server environment, services and features._x000D_
_x000D_
2. Acquire knowledge on the architecture, components, and operations of routers and switches in the context of a larger and more complex network._x000D_
_x000D_
3. Acquire knowledge on routers from basic concepts to the more advanced topics such as enterprise level routing protocols and learn the characteristics of routed networks as well as how to fine tune a routing protocol._x000D_
_x000D_
4. Articulate the essential aspects of information security from personal and enterprise perspectives_x000D_
_x000D_
5. Demonstrate their IT operation and support skills in enterprise computer system and networking with the consideration in security through a project._x000D_
_x000D_
_x000D_
","â€œPlease do NOT use this Course ID to claim any form of SSG support.  Kindly consult NYP if unsureâ€_x000D_
_x000D_
This Modular Certificate in System Network Operation & Support (MC3 of Diploma in Infocomm & Digital Media (IT Network & System Administration)-DINSA2Â  covers the following modules:_x000D_
_x000D_
â€¢ Enterprise System Essentials (30 hours)_x000D_
â€¢ Building Scalable Networks (30 hours)_x000D_
â€¢ Enterprise Routing (30 hours)_x000D_
â€¢ InfoSecurity Essentials (30 hours)_x000D_
â€¢ Secure Enterprise System Project (60 hours)_x000D_
_x000D_
_x000D_
_x000D_
",Business and Organisational Management,Networking,Nanyang Polytechnic,SSG-NON-WSQ,N
WSP - Post-Diploma Certificate in Robotics & Automation Systems (Part of WSP Specialist Diploma in Robotics and Automation Systems Design),TGS-2023036378,Nanyang Polytechnic,T08GB0032G,SSG-NON-WSQ,"Please do NOT use this Course ID to claim any form of SSG support. Kindly consult NYP if unsure_x000D_
_x000D_
Post-Diploma Certificate in Robotics & Automation Systems aims to equip the learners to:_x000D_
1.Â  Explain essential concepts and principles supporting the design process of robotic and automation systems. They will synthesise diverse engineering fundamentals including the use of robotic work cells, various types of layouts and Industry 4.0 considerations to design the systems._x000D_
2.Â  Classify, select and programme robots as well as identify different types of drives, sensors and control systems used in robots. Learners will use a simulation tool to programme a robot virtually before implementing it on a real robot._x000D_
3.Â  Set up industrial fieldbus network systems to support Industrial Internet of Things (IIoT) for smart factory connectivity. They will also learn to implement cybersecurity to protect the networks._x000D_
4.Â  Design, integrate, program and commission a real-life robotics and automation project using modular automation units._x000D_
","Please do NOT use this Course ID to claim any form of SSG support. Kindly consult NYP if unsure_x000D_
_x000D_
_x000D_
Post-Diploma Certificate in Robotics & Automation Systems ( PDC1 ofÂ  Specialist Diploma in Robotics and Automation Systems Design) covers the following subject matter:_x000D_
_x000D_
1. Automation Systems Design_x000D_
2. Robotics Systems and Simulation_x000D_
3. System Networking_x000D_
4. Integrated-Work-Study Project in Automation Design & Integration_x000D_
_x000D_
Total Training Duration: 150 hours_x000D_
_x000D_
",Business and Organisational Management,Networking,Nanyang Polytechnic,SSG-NON-WSQ,N
Media Post-Production,TGS-2020509082,Ngee Ann Polytechnic,T08GB0039A,SSG-NON-WSQ,,"In the Diploma in Media Post-Production, we develop students to be multi-skilled creative media practitioner working across film, media, live-events and entertainment industries. With familiarity in workflow and technology cutting across the various medium, student can apply their skillsets from traditional media to immersive media in the Arts & Entertainment industries.",Precision Manufacturing Process,Cutting,Ngee Ann Polytechnic,SSG-NON-WSQ,N
User Interface / User Experience Design (Classroom & Asynchronous e-learning),TGS-2021003227,Ngee Ann Polytechnic,T08GB0039A,SSG-NON-WSQ,"UX (User Experience) focuses on the principles and techniques in the design of good user experience, which is the key success factor of software applications today. It generally involves four vital stages: understanding user requirements, analysis, designing and validation. These are important phases of the UX design life cycle with emphasis on building empathy with users._x000D_
_x000D_
Designing for applications is more than just focusing on usability of the functions in a software application.  Instead, it emphasizes on how well a particular application is able to relate, interact and create a pleasant and meaningful experience.  Benefits from a good UX include higher engagement with users, increased sustainability in the use of applications and higher productivity. On the contrary, a bad UX inevitably leads to several issues including negative repercussions to an organisationâ€™s reputation._x000D_
_x000D_
This course holistically covers the different key principles of UX. The goal is to have participants learn UX by using the right techniques and designing/redesigning a product through a testing-focused approach.","What you will learn:_x000D_
_x000D_
â€¢	Know the importance of UX_x000D_
â€¢	Understand how to conduct user research_x000D_
â€¢	Storyboarding_x000D_
â€¢	Wireframing_x000D_
â€¢	Grasp key design principles_x000D_
â€¢	Prototyping_x000D_
â€¢	Usability Testing",Network Technology Management,User Experience Design,Ngee Ann Polytechnic,SSG-NON-WSQ,N
User Interface / User Experience Design (Synchronous & Asynchronous e-learning),TGS-2021003228,Ngee Ann Polytechnic,T08GB0039A,SSG-NON-WSQ,"UX (User Experience) focuses on the principles and techniques in the design of good user experience, which is the key success factor of software applications today. It generally involves four vital stages: understanding user requirements, analysis, designing and validation. These are important phases of the UX design life cycle with emphasis on building empathy with users._x000D_
_x000D_
Designing for applications is more than just focusing on usability of the functions in a software application.  Instead, it emphasizes on how well a particular application is able to relate, interact and create a pleasant and meaningful experience.  Benefits from a good UX include higher engagement with users, increased sustainability in the use of applications and higher productivity. On the contrary, a bad UX inevitably leads to several issues including negative repercussions to an organisationâ€™s reputation._x000D_
_x000D_
This course holistically covers the different key principles of UX. The goal is to have participants learn UX by using the right techniques and designing/redesigning a product through a testing-focused approach.","What you will learn:_x000D_
_x000D_
â€¢	Know the importance of UX_x000D_
â€¢	Understand how to conduct user research_x000D_
â€¢	Storyboarding_x000D_
â€¢	Wireframing_x000D_
â€¢	Grasp key design principles_x000D_
â€¢	Prototyping_x000D_
â€¢	Usability Testing",Network Technology Management,User Experience Design,Ngee Ann Polytechnic,SSG-NON-WSQ,N
Diploma in Arts & Theatre Management,TGS-2018508593,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,,"Transform your creative vision with technical theatre and arts management skills, and direct your career in the arts.

Immerse yourself in the vibrant world of arts and culture. At the Diploma in Arts & Theatre Management (DATM), you will learn how to balance a keen aesthetic eye with core technical skills and develop perspectives from both local and international practices.

Discover everything about arts management, stagecraft, production design, lighting, sound, stage, and production management. You will also gain access to state-of-the-art theatre facilities, such as our purpose-built Blackbox Theatre at The Republic Cultural Centre, to polish your technical expertise in theatre and live entertainment.

Gain a head start through interning with big names in the creative industry. At DATM, amass all the essentials you need for a fulfilling and successful career where your passion lies.

When you graduate, you will be equipped to embark on a rewarding career in the arts and theatre scene, locally and internationally.",Production Management,Production Performance Management,Republic Polytechnic,SSG-NON-WSQ,N
Diploma in Design For User Experience,TGS-2018508601,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,,"Unleash infinite opportunities in the User Experience Design field.

The Diploma in Design for User Experience (DDUX) trains you to engage users through proven research methods and leverage your creativity and innovative ideas to improve user experiences. Your creative work will take on real-world relevance in the product and service industries to enhance user experiences and user buy-in.

Learn and apply sophisticated tools and technology with state-of-the-art 3D printing and UX test equipment.

Develop practical design competencies along with an in-depth understanding of user-centred and inclusive design. You will also develop competencies in user research, wire framing, prototyping, and usability testing.

This course will bring you on a journey of discovery and expose you to real-world projects that provide hands-on experiences and position you well for an enriching career in a leading field.",Network Technology Management,User Experience Design,Republic Polytechnic,SSG-NON-WSQ,N
Diploma in Design For User Experience,TGS-2018508601,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,,"Unleash infinite opportunities in the User Experience Design field.

The Diploma in Design for User Experience (DDUX) trains you to engage users through proven research methods and leverage your creativity and innovative ideas to improve user experiences. Your creative work will take on real-world relevance in the product and service industries to enhance user experiences and user buy-in.

Learn and apply sophisticated tools and technology with state-of-the-art 3D printing and UX test equipment.

Develop practical design competencies along with an in-depth understanding of user-centred and inclusive design. You will also develop competencies in user research, wire framing, prototyping, and usability testing.

This course will bring you on a journey of discovery and expose you to real-world projects that provide hands-on experiences and position you well for an enriching career in a leading field.",Network Technology Management,User Interface Design,Republic Polytechnic,SSG-NON-WSQ,N
Diploma in Digital Design & Development,TGS-2018508610,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"- Gain expertise in application development and user interface/user experience (UI/UX) design
- Build immersive experiences for next-generation digital platforms
- Use AI and Machine Learning services to create smart solution","Be an expert in specialised technologies.

Explore trending and emerging technologies in the Diploma in Digital Design & Development (DDDD). From Immersive Media and Artificial Intelligence to the Internet of Things, you will gain the know-how to keep you relevant.

Learn to design and build immersive experiences for next-generation digital platforms with voice commands for smart assistants such as Google Home, Amazon Echo and even Virtual Reality apps for head-mounted devices.

Key current technology concepts such as machine learning, business intelligence, software testing, and analytics will be taught. With a holistic learning experience gained at DDDD, you will be well-prepared for an exciting career.",Network Technology Management,Virtual Reality Application,Republic Polytechnic,SSG-NON-WSQ,N
Diploma in Consumer Behaviour & Research,TGS-2018508611,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,,"Be a marketing analyst and strategist.

The Diploma in Consumer Behaviour & Research (DCBR) is a business programme with a focus on marketing, consumer insights and psychology.

The programme equips you with in-demand and high-transferable skills in consumer insights, digital and e-commerce marketing, data visualisation, and psychology.

You would gain opportunities to work on industry projects with companies and attain industry-recognised certificates.

With the skills acquired, you can look forward to a rewarding career in business, marketing or consumer insights, with opportunities spanning a range of industry sectors in local or international markets.",Business and Organisational Management,Business Innovation,Republic Polytechnic,SSG-NON-WSQ,N
Designing the user experience for mobile applications,TGS-2020504824,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"This two-day course gives participants a basic introduction into how mobile applications for phones and tablets can be designed with users in mind.  Participants will learn how the User Experience Design Process can be used to create digital interfaces that provide users with better experiences.  Participants do not require any prior technical knowledge, and will create a simple mobile application prototype based on user needs, which will be tested with other participants.","Learning Objectives_x000D_
Participants will be able to:_x000D_
_x000D_
Analyse an existing mobile application_x000D_
_x000D_
Identify elements that contribute to a better mobile experience_x000D_
_x000D_
Create a prototype of a mobile application_x000D_
_x000D_
Validate the idea with users",Network Technology Management,User Experience Design,Republic Polytechnic,SSG-NON-WSQ,N
Fundamentals of Data Analytics,TGS-2020504846,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"This is a 2 day course in data analytics and includes the area of data mining and predictive analytics as well. In this course, participants will learn the methodology and practice of data analytics using a range of datasets. The objective is to provide a basic understanding of data analysis using statistics and computer algorithms, with specific goals for students to be able to :_x000D_
â€¢ Describe the art and science of data analytics that define clear actions that result in improved decisions and business results _x000D_
â€¢ Identify the objectives and pre-conditions of a data analytics initiatives_x000D_
â€¢ Undertake the activities required for a data analytics solution implementation_x000D_
â€¢ Describe the challenges of achieving an effective predictive model","The key focus of analysing structured data is data analytics. Participants will understand the â€œwhatâ€ and â€œwhyâ€ of data and predictive analytics. Different statistical models will be discussed in detail. These models include Regression, Decision and Neural. Assessments for identifying the best model for prediction will also be covered.",Big Data Analytics,Data Analytics System Design,Republic Polytechnic,SSG-NON-WSQ,N
Fundamentals of Data Analytics,TGS-2020504846,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"This is a 2 day course in data analytics and includes the area of data mining and predictive analytics as well. In this course, participants will learn the methodology and practice of data analytics using a range of datasets. The objective is to provide a basic understanding of data analysis using statistics and computer algorithms, with specific goals for students to be able to :_x000D_
â€¢ Describe the art and science of data analytics that define clear actions that result in improved decisions and business results _x000D_
â€¢ Identify the objectives and pre-conditions of a data analytics initiatives_x000D_
â€¢ Undertake the activities required for a data analytics solution implementation_x000D_
â€¢ Describe the challenges of achieving an effective predictive model","The key focus of analysing structured data is data analytics. Participants will understand the â€œwhatâ€ and â€œwhyâ€ of data and predictive analytics. Different statistical models will be discussed in detail. These models include Regression, Decision and Neural. Assessments for identifying the best model for prediction will also be covered.",Business and Organisational Management,Business Data Analysis,Republic Polytechnic,SSG-NON-WSQ,N
Project Management - Made Fun and Easy,TGS-2020504878,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"Project Management â€“ Made Fun and Easy is designed to equip participants with the required knowledge and skills set to manage projects._x000D_
Project Management is an important skills-set for entrepreneurs as launching a business is a project. _x000D_
In this interactive Project Management course, participants will learn practical skills and knowledge that they can apply to any project - be it Orientation Programme, Open House, or starting your online business._x000D_
_x000D_
Through the use of hands-on activities, our trainer will guide participants through a powerful yet easy-to-remember Project Management framework that will enable participants to manage any project â€“ big or small.  _x000D_
_x000D_
This course will also introduce the various components of managing a project effectively and successfully, as well as equip participants with a clear understanding of the role played by a skilled project manager.","At the end of this course, participants will be able to: _x000D_
_x000D_
    Understand the fundamentals of project management _x000D_
    Appreciate the effectiveness of the project management framework_x000D_
    Learn how to break down major project components into manageable tasks_x000D_
    Use effective scheduling techniques_x000D_
    Value quality management and team management in projects_x000D_
    Master risk management and contingency planning_x000D_
    Recognize the importance of project tracking for a successful project_x000D_
    Ensure proper project closure",Business and Organisational Management,Project Management,Republic Polytechnic,SSG-NON-WSQ,N
Creativity and Innovation Workshop,TGS-2020505233,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"While hard work is certainly commendable, creativity and innovation are critical success drivers as well, especially in todayâ€™s competitive world. This course helps participants to acquire practical skills in creative and innovative thinking. Participants will learn to identify opportunities, generate ideas and overcome barriers to innovation. They will also be exposed to various thinking techniques for idea generation and creative problem-solving.","By the end of the course, learners will be able to:_x000D_
_x000D_
understand an individualâ€™s potential for creativity_x000D_
_x000D_
identify the potential barriers to creativity and innovation_x000D_
_x000D_
apply creative thinking strategies in a work-related or personal context",Business and Organisational Management,Business Innovation,Republic Polytechnic,SSG-NON-WSQ,N
Creativity and Innovation Workshop,TGS-2020505233,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"While hard work is certainly commendable, creativity and innovation are critical success drivers as well, especially in todayâ€™s competitive world. This course helps participants to acquire practical skills in creative and innovative thinking. Participants will learn to identify opportunities, generate ideas and overcome barriers to innovation. They will also be exposed to various thinking techniques for idea generation and creative problem-solving.","By the end of the course, learners will be able to:_x000D_
_x000D_
understand an individualâ€™s potential for creativity_x000D_
_x000D_
identify the potential barriers to creativity and innovation_x000D_
_x000D_
apply creative thinking strategies in a work-related or personal context",Productivity and Innovation,Innovation Management,Republic Polytechnic,SSG-NON-WSQ,N
A Primer in HR Analytics,TGS-2020505234,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"Analytics can be applied to nearly any business area to enhance performance and accuracy in business prognoses. When it comes to Human Resources (HR), how can it be applied effectively? _x000D_
_x000D_
This course introduces participants to Analytics in HR, and how it can be utilised to improve HR decision-making. You will learn how to make sense of the numbers and use various methods to make them tell a story. You will also learn to identify the gaps and barriers in data management and collection that need to be addressed in order to implement HR analytics in your organisation.","By the end of the course, participants will be able to:_x000D_
_x000D_
explain how analytics can be used to improve HR decision-making _x000D_
identify gaps and barriers to implementing HR analytics_x000D_
propose strategies to implement HR analytics",Business and Organisational Management,Business Data Analysis,Republic Polytechnic,SSG-NON-WSQ,N
Design Thinking For Successful Problem Solving,TGS-2020505398,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"Design touches all aspects; and impacts the human experience._x000D_
_x000D_
The new age requires change-makers, inspirers of new ideas, implementers and solution finders. Be it the individual, the community, or the organisation, design allows for a human-centric approach to creative thinking and problem-solving._x000D_
_x000D_
To be competitive, organisations today need to create new strategies, new brands and new applications. They must find new ways to connect with users and customers._x000D_
_x000D_
So learn and use design thinking tools to lead innovative ideas, and increase the probability of success and breakthrough.","Learning Objectives_x000D_
Participants will work in small teams to experience and learn the following through a design challenge based on these principles:_x000D_
_x000D_
â€¢ Human centred and empathetic design_x000D_
_x000D_
â€¢ Utilising various design tools such as persona and scenarios_x000D_
_x000D_
â€¢ Developing a culture of prototyping and collaboration",Business and Organisational Management,Business Innovation,Republic Polytechnic,SSG-NON-WSQ,N
Diploma in Business,TGS-2020510092,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,,"Shaping business leaders of tomorrow for the digital and sustainable era.

Diploma in Business (DBIZ) is a transformative business programme with dual specialisations in digitalisation and sustainability, designed to propel you into the dynamic world of business.

Aspire to create sustainable businesses and harness digitalisation strategies to drive the success of any business?

Our curriculum is designed to cultivate business acumen, enabling students to spot opportunities and build sustainable businesses that balance profit with environmental, social and governance goals. We foster business leaders who utilise data and digital technology to drive business decision-making, in order to transform business products and create compelling customer experiences.

DBIZ takes you beyond the classroom with exposure to international internship opportunities and opportunities to work on real-world projects with industry leaders. Join us at DBIZ, where we create tomorrowâ€™s leaders for the digital and sustainable era.",Business and Organisational Management,Business Innovation,Republic Polytechnic,SSG-NON-WSQ,N
Introduction to Low Code Mobile Apps Development,TGS-2020513146,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"Ecosystem of mobile app development_x000D_
Data modelling for mobile app development_x000D_
User Interface development_x000D_
Local storage_x000D_
Accessing external data through web services_x000D_
Native app package generation","Low-code development platform is aligned with rapid application development, sporting a Graphical User Interface for programming, allowing fast code development and reduces the traditional programming effort. Rather than writing lines of complex code, low-code development platforms allow users to build complete applications with modern user interfaces, integrating data and logic quickly and visually._x000D_
_x000D_
In this foundational course, youâ€™ll learn how to develop simple mobile apps using a low-code development platform in the market.",Network Technology Management,User Interface Design,Republic Polytechnic,SSG-NON-WSQ,N
5G Fundamentals and Applications,TGS-2021004053,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,"â€¢	Overview of the evolution in Mobile Communications._x000D_
â€¢	Understand the technology drivers of 5G._x000D_
â€¢	Understand the network architecture, components and features of 5G Cloud Elastic Architecture Introduction and Reference Cases._x000D_
â€¢	Explain the RF and Core Network of 5G._x000D_
â€¢	Describe typical use cases and deployments of 5G._x000D_
â€¢	Understand the parameters of 5G using a software simulation._x000D_
","This course covers 5G technologies in-depth in the areas of RF antenna, radio channels and core networks. Participants will find out how 5G compares to 4G in terms of speed, flexibility and intelligence. Emerging trends such as IoT, smart cities and autonomous driving employing 5G will be covered. Participants will appreciate the use of software networking concepts in the development of 5G core networks.",Business and Organisational Management,Networking,Republic Polytechnic,SSG-NON-WSQ,N
"Common Arts, Design and Media Programme",TGS-2022014950,Republic Polytechnic,T08GB0046G,SSG-NON-WSQ,,"Unveil your passion and showcase your creative talent in Arts, Design and Media before focusing on a specialisation.

Desire a vibrant career in the exciting creative industries but unsure which field to specialise in? The Common Arts, Design and Media Programme (CAP) is perfect for you!

With CAP, you will embark on a cross-disciplinary curriculum that immerses you in the creative sector. You will acquire expertise that will put you in good stead across various creative careers.

You will also gain first-hand experiences of the different creative disciplines to discover your interests and strengths. This will help you make an informed choice on the diploma to specialise in at the end of your first year.

You can choose from the following diplomas:

Diploma in Media Production and Design (R19)
Diploma in Sonic Arts (R24)
Diploma in Arts and Theatre Management (R25)
Diploma in Design for Games and Gamification (R35)
Diploma in Design for User Experience (R36)",Network Technology Management,User Experience Design,Republic Polytechnic,SSG-NON-WSQ,N
Cyber Defence and Range Exercises,TGS-2021003401,Singapore Polytechnic,T08GB0056A,SSG-NON-WSQ,"Learning outcomes for the Specialist Diploma in Cyber Security Management (NSCSM) are:_x000D_
â€¢ Plan and manage penetration tests to gain accurate insights into the organisational security posture._x000D_
â€¢ Secure computer and network resources to mitigate cyber security risks. _x000D_
â€¢ Handle the forensics process in computers and mobile devices to discover computer-related crime in organisations._x000D_
â€¢ Perform incident Response Procedures, Construct basic IT security policies.","The Specialist Diploma in Cyber Security Management (NSCSM) provides an opportunity for participants to upskill and reskill themselves in the area of Cyber Security Management which deals with how companies can identify, prioritise, manage, and monitor risks to information systems._x000D_
_x000D_
The course equips participants with the necessary skillsets to take up the job roles of an Associate Security Analyst or a Forensics Investigator in the cybersecurity industry._x000D_
_x000D_
The target participants are working professionals who have an Information Technology (IT) related diploma/degree or professionals who have at least two (2) years of working experience in IT.",Network Technology Management,Cyber Risk Management,Singapore Polytechnic,SSG-NON-WSQ,N
Certificate in High Voltage Operation and Protection,TGS-2021008455,SINGAPORE POLYTECHNIC,T08GB0056A,SSG-NON-WSQ,"The objective of the specialist diploma is to provide upgrading for diploma graduates working in the energy and power industry the necessary knowledge and skills to perform planning, operation and protection of power systems used in power generation, transmission and distribution for large manufacturing process plants and industrial estates.","This course is designed for practising engineers involved in electrical consultancy or plant operations to perform planning, design, operation, protection and management of power systems in energy and power, petrochemical, public transport and construction industries.",Maintenance,Equipment Maintenance,Singapore Polytechnic,SSG-NON-WSQ,N
Specialist Diploma in MICE & Events Management (TP-FS-PBS),TGS-2021003409,Temasek Polytechnic,T08GB0062L,SSG-NON-WSQ,"The aim of the Specialist Diploma in MICE & Events Management is to equip students with the knowledge and skills to: _x000D_
a)	Apply strategies, skills and services related to the hosting of MICE-related events in the hospitality sector. _x000D_
b)	Apply an operations framework for fairs, exhibitions and events._x000D_
c)	Develop compelling content and differentiated experiences for the MICE and events sector._x000D_
d)	Attract and manage a portfolio of sponsors to achieve event outcomes._x000D_
e)	Manage projects using a project management framework._x000D_
f)	Apply concepts of revenue management in MICE/events, tourism and travel operations._x000D_
g)	Use of digital media as a marketing platform in consumer engagement and to achieve marketing objectives._x000D_
_x000D_
","The Specialist Diploma in MICE & Events Management aims to equip students with holistic education in applying strategies, skills and services related to the hosting of MICE-related events and value creation through the curation of event experiences and digital marketing.  Students will also manage projects using the project management framework and apply concepts of revenue management in MICE/events, tourism and travel operations.",Business and Organisational Management,Project Management,Temasek Polytechnic,SSG-NON-WSQ,N
